service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               
1037M,0,1,0,0,0,0,0,20220426,20220426                                                                                                                 
1038X,0,0,1,0,0,0,0,20220427,20220427                                                                                                                 
1039J,0,0,0,1,0,0,0,20220428,20220428                                                                                                                 
1040V,0,0,0,0,1,0,0,20220429,20220429                                                                                                                 
1041S,0,0,0,0,0,1,0,20220430,20220430                                                                                                                 
1042D,0,0,0,0,0,0,1,20220501,20220501                                                                                                                 
1043L,1,0,0,0,0,0,0,20220502,20220502                                                                                                                 
1044M,0,1,0,0,0,0,0,20220503,20220503                                                                                                                 
1045X,0,0,1,0,0,0,0,20220504,20220504                                                                                                                 
1046J,0,0,0,1,0,0,0,20220505,20220505                                                                                                                 
1047V,0,0,0,0,1,0,0,20220506,20220506                                                                                                                 
1048S,0,0,0,0,0,1,0,20220507,20220507                                                                                                                 
1049D,0,0,0,0,0,0,1,20220508,20220508                                                                                                                 
1050L,1,0,0,0,0,0,0,20220509,20220509                                                                                                                 
1051M,0,1,0,0,0,0,0,20220510,20220510                                                                                                                 
1052X,0,0,1,0,0,0,0,20220511,20220511                                                                                                                 
1053J,0,0,0,1,0,0,0,20220512,20220512                                                                                                                 
1054V,0,0,0,0,1,0,0,20220513,20220513                                                                                                                 
1055S,0,0,0,0,0,1,0,20220514,20220514                                                                                                                 
1056D,0,0,0,0,0,0,1,20220515,20220515                                                                                                                 
1057L,1,0,0,0,0,0,0,20220516,20220516                                                                                                                 
1058M,0,1,0,0,0,0,0,20220517,20220517                                                                                                                 
1059X,0,0,1,0,0,0,0,20220518,20220518                                                                                                                 
1060J,0,0,0,1,0,0,0,20220519,20220519                                                                                                                 
1061V,0,0,0,0,1,0,0,20220520,20220520                                                                                                                 
1062S,0,0,0,0,0,1,0,20220521,20220521                                                                                                                 
1063D,0,0,0,0,0,0,1,20220522,20220522                                                                                                                 
1064L,1,0,0,0,0,0,0,20220523,20220523                                                                                                                 
1065M,0,1,0,0,0,0,0,20220524,20220524                                                                                                                 
1066X,0,0,1,0,0,0,0,20220525,20220525                                                                                                                 
1067J,0,0,0,1,0,0,0,20220526,20220526                                                                                                                 
2037M,0,1,0,0,0,0,0,20220426,20220426                                                                                                                 
2038X,0,0,1,0,0,0,0,20220427,20220427                                                                                                                 
2039J,0,0,0,1,0,0,0,20220428,20220428                                                                                                                 
2040V,0,0,0,0,1,0,0,20220429,20220429                                                                                                                 
2041S,0,0,0,0,0,1,0,20220430,20220430                                                                                                                 
2042D,0,0,0,0,0,0,1,20220501,20220501                                                                                                                 
2043L,1,0,0,0,0,0,0,20220502,20220502                                                                                                                 
2044M,0,1,0,0,0,0,0,20220503,20220503                                                                                                                 
2045X,0,0,1,0,0,0,0,20220504,20220504                                                                                                                 
2046J,0,0,0,1,0,0,0,20220505,20220505                                                                                                                 
2047V,0,0,0,0,1,0,0,20220506,20220506                                                                                                                 
2048S,0,0,0,0,0,1,0,20220507,20220507                                                                                                                 
2049D,0,0,0,0,0,0,1,20220508,20220508                                                                                                                 
2050L,1,0,0,0,0,0,0,20220509,20220509                                                                                                                 
2051M,0,1,0,0,0,0,0,20220510,20220510                                                                                                                 
2052X,0,0,1,0,0,0,0,20220511,20220511                                                                                                                 
2053J,0,0,0,1,0,0,0,20220512,20220512                                                                                                                 
2054V,0,0,0,0,1,0,0,20220513,20220513                                                                                                                 
2055S,0,0,0,0,0,1,0,20220514,20220514                                                                                                                 
2056D,0,0,0,0,0,0,1,20220515,20220515                                                                                                                 
2057L,1,0,0,0,0,0,0,20220516,20220516                                                                                                                 
2058M,0,1,0,0,0,0,0,20220517,20220517                                                                                                                 
2059X,0,0,1,0,0,0,0,20220518,20220518                                                                                                                 
2060J,0,0,0,1,0,0,0,20220519,20220519                                                                                                                 
2061V,0,0,0,0,1,0,0,20220520,20220520                                                                                                                 
2062S,0,0,0,0,0,1,0,20220521,20220521                                                                                                                 
2063D,0,0,0,0,0,0,1,20220522,20220522                                                                                                                 
2064L,1,0,0,0,0,0,0,20220523,20220523                                                                                                                 
2065M,0,1,0,0,0,0,0,20220524,20220524                                                                                                                 
2066X,0,0,1,0,0,0,0,20220525,20220525                                                                                                                 
2067J,0,0,0,1,0,0,0,20220526,20220526                                                                                                                 
3037M,0,1,0,0,0,0,0,20220426,20220426                                                                                                                 
3038X,0,0,1,0,0,0,0,20220427,20220427                                                                                                                 
3039J,0,0,0,1,0,0,0,20220428,20220428                                                                                                                 
3040V,0,0,0,0,1,0,0,20220429,20220429                                                                                                                 
3041S,0,0,0,0,0,1,0,20220430,20220430                                                                                                                 
3042D,0,0,0,0,0,0,1,20220501,20220501                                                                                                                 
3043L,1,0,0,0,0,0,0,20220502,20220502                                                                                                                 
3044M,0,1,0,0,0,0,0,20220503,20220503                                                                                                                 
3045X,0,0,1,0,0,0,0,20220504,20220504                                                                                                                 
3046J,0,0,0,1,0,0,0,20220505,20220505                                                                                                                 
3047V,0,0,0,0,1,0,0,20220506,20220506                                                                                                                 
3048S,0,0,0,0,0,1,0,20220507,20220507                                                                                                                 
3049D,0,0,0,0,0,0,1,20220508,20220508                                                                                                                 
3050L,1,0,0,0,0,0,0,20220509,20220509                                                                                                                 
3051M,0,1,0,0,0,0,0,20220510,20220510                                                                                                                 
3052X,0,0,1,0,0,0,0,20220511,20220511                                                                                                                 
3053J,0,0,0,1,0,0,0,20220512,20220512                                                                                                                 
3054V,0,0,0,0,1,0,0,20220513,20220513                                                                                                                 
3055S,0,0,0,0,0,1,0,20220514,20220514                                                                                                                 
3056D,0,0,0,0,0,0,1,20220515,20220515                                                                                                                 
3057L,1,0,0,0,0,0,0,20220516,20220516                                                                                                                 
3058M,0,1,0,0,0,0,0,20220517,20220517                                                                                                                 
3059X,0,0,1,0,0,0,0,20220518,20220518                                                                                                                 
3060J,0,0,0,1,0,0,0,20220519,20220519                                                                                                                 
3061V,0,0,0,0,1,0,0,20220520,20220520                                                                                                                 
3062S,0,0,0,0,0,1,0,20220521,20220521                                                                                                                 
3063D,0,0,0,0,0,0,1,20220522,20220522                                                                                                                 
3064L,1,0,0,0,0,0,0,20220523,20220523                                                                                                                 
3065M,0,1,0,0,0,0,0,20220524,20220524                                                                                                                 
3066X,0,0,1,0,0,0,0,20220525,20220525                                                                                                                 
3067J,0,0,0,1,0,0,0,20220526,20220526                                                                                                                 
3137M,0,1,0,0,0,0,0,20220426,20220426                                                                                                                 
3138X,0,0,1,0,0,0,0,20220427,20220427                                                                                                                 
3139J,0,0,0,1,0,0,0,20220428,20220428                                                                                                                 
3140V,0,0,0,0,1,0,0,20220429,20220429                                                                                                                 
3141S,0,0,0,0,0,1,0,20220430,20220430                                                                                                                 
3142D,0,0,0,0,0,0,1,20220501,20220501                                                                                                                 
3143L,1,0,0,0,0,0,0,20220502,20220502                                                                                                                 
3144M,0,1,0,0,0,0,0,20220503,20220503                                                                                                                 
3145X,0,0,1,0,0,0,0,20220504,20220504                                                                                                                 
3146J,0,0,0,1,0,0,0,20220505,20220505                                                                                                                 
3147V,0,0,0,0,1,0,0,20220506,20220506                                                                                                                 
3148S,0,0,0,0,0,1,0,20220507,20220507                                                                                                                 
3149D,0,0,0,0,0,0,1,20220508,20220508                                                                                                                 
3150L,1,0,0,0,0,0,0,20220509,20220509                                                                                                                 
3151M,0,1,0,0,0,0,0,20220510,20220510                                                                                                                 
3152X,0,0,1,0,0,0,0,20220511,20220511                                                                                                                 
3153J,0,0,0,1,0,0,0,20220512,20220512                                                                                                                 
3154V,0,0,0,0,1,0,0,20220513,20220513                                                                                                                 
3155S,0,0,0,0,0,1,0,20220514,20220514                                                                                                                 
3156D,0,0,0,0,0,0,1,20220515,20220515                                                                                                                 
3157L,1,0,0,0,0,0,0,20220516,20220516                                                                                                                 
3158M,0,1,0,0,0,0,0,20220517,20220517                                                                                                                 
3159X,0,0,1,0,0,0,0,20220518,20220518                                                                                                                 
3160J,0,0,0,1,0,0,0,20220519,20220519                                                                                                                 
3161V,0,0,0,0,1,0,0,20220520,20220520                                                                                                                 
3162S,0,0,0,0,0,1,0,20220521,20220521                                                                                                                 
3163D,0,0,0,0,0,0,1,20220522,20220522                                                                                                                 
3164L,1,0,0,0,0,0,0,20220523,20220523                                                                                                                 
3165M,0,1,0,0,0,0,0,20220524,20220524                                                                                                                 
3166X,0,0,1,0,0,0,0,20220525,20220525                                                                                                                 
3167J,0,0,0,1,0,0,0,20220526,20220526                                                                                                                 
3237M,0,1,0,0,0,0,0,20220426,20220426                                                                                                                 
3238X,0,0,1,0,0,0,0,20220427,20220427                                                                                                                 
3239J,0,0,0,1,0,0,0,20220428,20220428                                                                                                                 
3240V,0,0,0,0,1,0,0,20220429,20220429                                                                                                                 
3241S,0,0,0,0,0,1,0,20220430,20220430                                                                                                                 
3242D,0,0,0,0,0,0,1,20220501,20220501                                                                                                                 
3243L,1,0,0,0,0,0,0,20220502,20220502                                                                                                                 
3244M,0,1,0,0,0,0,0,20220503,20220503                                                                                                                 
3245X,0,0,1,0,0,0,0,20220504,20220504                                                                                                                 
3246J,0,0,0,1,0,0,0,20220505,20220505                                                                                                                 
3247V,0,0,0,0,1,0,0,20220506,20220506                                                                                                                 
3248S,0,0,0,0,0,1,0,20220507,20220507                                                                                                                 
3249D,0,0,0,0,0,0,1,20220508,20220508                                                                                                                 
3250L,1,0,0,0,0,0,0,20220509,20220509                                                                                                                 
3251M,0,1,0,0,0,0,0,20220510,20220510                                                                                                                 
3252X,0,0,1,0,0,0,0,20220511,20220511                                                                                                                 
3253J,0,0,0,1,0,0,0,20220512,20220512                                                                                                                 
3254V,0,0,0,0,1,0,0,20220513,20220513                                                                                                                 
3255S,0,0,0,0,0,1,0,20220514,20220514                                                                                                                 
3256D,0,0,0,0,0,0,1,20220515,20220515                                                                                                                 
3257L,1,0,0,0,0,0,0,20220516,20220516                                                                                                                 
3258M,0,1,0,0,0,0,0,20220517,20220517                                                                                                                 
3259X,0,0,1,0,0,0,0,20220518,20220518                                                                                                                 
3260J,0,0,0,1,0,0,0,20220519,20220519                                                                                                                 
3261V,0,0,0,0,1,0,0,20220520,20220520                                                                                                                 
3262S,0,0,0,0,0,1,0,20220521,20220521                                                                                                                 
3263D,0,0,0,0,0,0,1,20220522,20220522                                                                                                                 
3264L,1,0,0,0,0,0,0,20220523,20220523                                                                                                                 
3265M,0,1,0,0,0,0,0,20220524,20220524                                                                                                                 
3266X,0,0,1,0,0,0,0,20220525,20220525                                                                                                                 
3267J,0,0,0,1,0,0,0,20220526,20220526                                                                                                                 
4037M,0,1,0,0,0,0,0,20220426,20220426                                                                                                                 
4038X,0,0,1,0,0,0,0,20220427,20220427                                                                                                                 
4039J,0,0,0,1,0,0,0,20220428,20220428                                                                                                                 
4040V,0,0,0,0,1,0,0,20220429,20220429                                                                                                                 
4041S,0,0,0,0,0,1,0,20220430,20220430                                                                                                                 
4042D,0,0,0,0,0,0,1,20220501,20220501                                                                                                                 
4043L,1,0,0,0,0,0,0,20220502,20220502                                                                                                                 
4044M,0,1,0,0,0,0,0,20220503,20220503                                                                                                                 
4045X,0,0,1,0,0,0,0,20220504,20220504                                                                                                                 
4046J,0,0,0,1,0,0,0,20220505,20220505                                                                                                                 
4047V,0,0,0,0,1,0,0,20220506,20220506                                                                                                                 
4048S,0,0,0,0,0,1,0,20220507,20220507                                                                                                                 
4049D,0,0,0,0,0,0,1,20220508,20220508                                                                                                                 
4050L,1,0,0,0,0,0,0,20220509,20220509                                                                                                                 
4051M,0,1,0,0,0,0,0,20220510,20220510                                                                                                                 
4052X,0,0,1,0,0,0,0,20220511,20220511                                                                                                                 
4053J,0,0,0,1,0,0,0,20220512,20220512                                                                                                                 
4054V,0,0,0,0,1,0,0,20220513,20220513                                                                                                                 
4055S,0,0,0,0,0,1,0,20220514,20220514                                                                                                                 
4056D,0,0,0,0,0,0,1,20220515,20220515                                                                                                                 
4057L,1,0,0,0,0,0,0,20220516,20220516                                                                                                                 
4058M,0,1,0,0,0,0,0,20220517,20220517                                                                                                                 
4059X,0,0,1,0,0,0,0,20220518,20220518                                                                                                                 
4060J,0,0,0,1,0,0,0,20220519,20220519                                                                                                                 
4061V,0,0,0,0,1,0,0,20220520,20220520                                                                                                                 
4062S,0,0,0,0,0,1,0,20220521,20220521                                                                                                                 
